xflr5 v6.61

Plane name :        wist_2_15_up
Polar name :        T1-25.0 m/s-VLM1
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.500     0.000  -0.269037   0.022185   0.018950   0.041135   0.000000   0.000000   0.662651  -0.000000  -0.000000   25.0000     0.6551
   -4.000     0.000  -0.222395   0.020827   0.017963   0.038791   0.000000   0.000000   0.635773  -0.000000  -0.000000   25.0000     0.7602
   -3.500     0.000  -0.175702   0.019622   0.017032   0.036654   0.000000   0.000000   0.608806  -0.000000  -0.000000   25.0000     0.9213
   -3.000     0.000  -0.128967   0.018571   0.016059   0.034630   0.000000  -0.000000   0.581723  -0.000000  -0.000000   25.0000     1.1993
   -2.500     0.000  -0.082197   0.017674   0.014894   0.032568   0.000000  -0.000000   0.554517  -0.000000  -0.000000   25.0000     1.7938
   -2.000     0.000  -0.035399   0.016933   0.013909   0.030842   0.000000  -0.000000   0.527278  -0.000000  -0.000000   25.0000     3.9610
   -1.500     0.000   0.011419   0.016348   0.013631   0.029979   0.000000  -0.000000   0.500060  -0.000000  -0.000000   25.0000   -11.6453
   -1.000     0.000   0.058249   0.015919   0.013421   0.029340   0.000000  -0.000000   0.472751  -0.000000  -0.000000   25.0000    -2.1584
   -0.500     0.000   0.105083   0.015647   0.013261   0.028907   0.000000  -0.000000   0.445355  -0.000000  -0.000000   25.0000    -1.1273
    0.000     0.000   0.151914   0.015531   0.013170   0.028701   0.000000  -0.000000   0.417877  -0.000000  -0.000000   25.0000    -0.7320
    0.500     0.000   0.198733   0.015573   0.013126   0.028698   0.000000  -0.000000   0.390325  -0.000000  -0.000000   25.0000    -0.5229
    1.000     0.000   0.245534   0.015771   0.013149   0.028920   0.000000  -0.000000   0.362705  -0.000000  -0.000000   25.0000    -0.3936
    1.500     0.000   0.292309   0.016126   0.013647   0.029773   0.000000  -0.000000   0.335020  -0.000000  -0.000000   25.0000    -0.3056
    2.000     0.000   0.339050   0.016638   0.014172   0.030810   0.000000  -0.000000   0.307279  -0.000000  -0.000000   25.0000    -0.2420
    2.500     0.000   0.385748   0.017305   0.014510   0.031815   0.000000  -0.000000   0.279496  -0.000000  -0.000000   25.0000    -0.1937
    3.000     0.000   0.432398   0.018128   0.014733   0.032862   0.000000  -0.000000   0.251678  -0.000000  -0.000000   25.0000    -0.1559
    3.500     0.000   0.478990   0.019106   0.014990   0.034096   0.000000  -0.000000   0.223830  -0.000000  -0.000000   25.0000    -0.1255
    4.000     0.000   0.525517   0.020238   0.015270   0.035508   0.000000  -0.000000   0.195962  -0.000000  -0.000000   25.0000    -0.1004
    4.500     0.000   0.571972   0.021524   0.015579   0.037103   0.000000  -0.000000   0.168079  -0.000000  -0.000000   25.0000    -0.0795
    5.000     0.000   0.618348   0.022961   0.015919   0.038881   0.000000  -0.000000   0.140191  -0.000000  -0.000000   25.0000    -0.0617
    5.500     0.000   0.664635   0.024550   0.016304   0.040854   0.000000  -0.000000   0.112305  -0.000000  -0.000000   25.0000    -0.0463
    6.000     0.000   0.710828   0.026289   0.016724   0.043012   0.000000  -0.000000   0.084428  -0.000000  -0.000000   25.0000    -0.0330
    6.500     0.000   0.756918   0.028176   0.017197   0.045373   0.000000  -0.000000   0.056562  -0.000000  -0.000000   25.0000    -0.0213
    7.000     0.000   0.802899   0.030210   0.017720   0.047930   0.000000  -0.000000   0.028718  -0.000000  -0.000000   25.0000    -0.0109
    7.500     0.000   0.848762   0.032390   0.018282   0.050671   0.000000  -0.000000   0.000909  -0.000000  -0.000000   25.0000    -0.0017
    8.000     0.000   0.894500   0.034713   0.018885   0.053598   0.000000  -0.000000  -0.026852  -0.000000  -0.000000   25.0000     0.0066
    8.500     0.000   0.940106   0.037179   0.019551   0.056730   0.000000  -0.000000  -0.054563  -0.000000  -0.000000   25.0000     0.0141
    9.000     0.000   0.985574   0.039785   0.020301   0.060086   0.000000  -0.000000  -0.082220  -0.000000  -0.000000   25.0000     0.0209
    9.500     0.000   1.030895   0.042529   0.021172   0.063701   0.000000  -0.000000  -0.109816  -0.000000  -0.000000   25.0000     0.0271
   10.000     0.000   1.076062   0.045408   0.022200   0.067608   0.000000  -0.000000  -0.137348  -0.000000  -0.000000   25.0000     0.0327
   10.500     0.000   1.121069   0.048422   0.023492   0.071914   0.000000  -0.000000  -0.164816   0.000000  -0.000000   25.0000     0.0380


