xflr5 v6.61

Plane name :        wist_2_10_down
Polar name :        T1-25.0 m/s-VLM1
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.506891   0.008866   0.019067   0.027932   0.000000   0.000000   0.019724  -0.000000  -0.000000   25.0000     0.0099
   -9.500     0.000  -0.460363   0.007417   0.018362   0.025779   0.000000   0.000000  -0.007327  -0.000000  -0.000000   25.0000    -0.0050
   -9.000     0.000  -0.413748   0.006121   0.017721   0.023842   0.000000   0.000000  -0.034463  -0.000000  -0.000000   25.0000    -0.0232
   -8.500     0.000  -0.367056   0.004979   0.017141   0.022120   0.000000   0.000000  -0.061674  -0.000000  -0.000000   25.0000    -0.0461
   -8.000     0.000  -0.320293   0.003992   0.016602   0.020594   0.000000   0.000000  -0.088955  -0.000000  -0.000000   25.0000    -0.0757
   -7.500     0.000  -0.273468   0.003162   0.016096   0.019258   0.000000   0.000000  -0.116299  -0.000000  -0.000000   25.0000    -0.1154
   -7.000     0.000  -0.226587   0.002489   0.015621   0.018109   0.000000   0.000000  -0.143700  -0.000000  -0.000000   25.0000    -0.1715
   -6.500     0.000  -0.179659   0.001974   0.015169   0.017143   0.000000   0.000000  -0.171150  -0.000000  -0.000000   25.0000    -0.2570
   -6.000     0.000  -0.132691   0.001618   0.014743   0.016361   0.000000   0.000000  -0.198637  -0.000000  -0.000000   25.0000    -0.4030
   -5.500     0.000  -0.085691   0.001422   0.014342   0.015764   0.000000   0.000000  -0.226155  -0.000000  -0.000000   25.0000    -0.7092
   -5.000     0.000  -0.038667   0.001386   0.013974   0.015360   0.000000   0.000000  -0.253695  -0.000000  -0.000000   25.0000    -1.7604
   -4.500     0.000   0.008374   0.001511   0.013641   0.015152   0.000000   0.000000  -0.281248  -0.000000  -0.000000   25.0000     8.9994
   -4.000     0.000   0.055423   0.001797   0.013338   0.015135   0.000000   0.000000  -0.308807  -0.000000  -0.000000   25.0000     1.4912
   -3.500     0.000   0.102473   0.002243   0.013054   0.015298   0.000000   0.000000  -0.336364  -0.000000  -0.000000   25.0000     0.8775
   -3.000     0.000   0.149516   0.002851   0.012840   0.015691   0.000000  -0.000000  -0.363909  -0.000000  -0.000000   25.0000     0.6501
   -2.500     0.000   0.196544   0.003620   0.012638   0.016258   0.000000  -0.000000  -0.391435  -0.000000  -0.000000   25.0000     0.5315
   -2.000     0.000   0.243550   0.004550   0.012485   0.017035   0.000000  -0.000000  -0.418934  -0.000000  -0.000000   25.0000     0.4587
   -1.500     0.000   0.290525   0.005640   0.012369   0.018010   0.000000  -0.000000  -0.446398  -0.000000  -0.000000   25.0000     0.4095
   -1.000     0.000   0.337462   0.006891   0.012280   0.019171   0.000000  -0.000000  -0.473820  -0.000000  -0.000000   25.0000     0.3740
   -0.500     0.000   0.384353   0.008300   0.012233   0.020534   0.000000  -0.000000  -0.501192  -0.000000  -0.000000   25.0000     0.3472
    0.000     0.000   0.431190   0.009869   0.012208   0.022077   0.000000  -0.000000  -0.528504  -0.000000  -0.000000   25.0000     0.3262
    0.500     0.000   0.477966   0.011596   0.012227   0.023823   0.000000  -0.000000  -0.555749  -0.000000  -0.000000   25.0000     0.3094
    1.000     0.000   0.524673   0.013479   0.012534   0.026013   0.000000  -0.000000  -0.582923  -0.000000  -0.000000   25.0000     0.2955
    1.500     0.000   0.571303   0.015519   0.013101   0.028620   0.000000  -0.000000  -0.610018  -0.000000  -0.000000   25.0000     0.2840
    2.000     0.000   0.617849   0.017713   0.013637   0.031351   0.000000  -0.000000  -0.637026  -0.000000  -0.000000   25.0000     0.2742
    2.500     0.000   0.664302   0.020062   0.013924   0.033986   0.000000  -0.000000  -0.663937  -0.000000  -0.000000   25.0000     0.2658
    3.000     0.000   0.710656   0.022562   0.014232   0.036793   0.000000  -0.000000  -0.690743  -0.000000  -0.000000   25.0000     0.2585
    3.500     0.000   0.756903   0.025212   0.014565   0.039778   0.000000  -0.000000  -0.717438  -0.000000  -0.000000   25.0000     0.2522
    4.000     0.000   0.803034   0.028012   0.014919   0.042931   0.000000  -0.000000  -0.744014  -0.000000  -0.000000   25.0000     0.2465
    4.500     0.000   0.849044   0.030959   0.015300   0.046259   0.000000  -0.000000  -0.770463  -0.000000  -0.000000   25.0000     0.2415
