xflr5 v6.61

Plane name :        wist_2_15_down
Polar name :        T1-25.0 m/s-VLM1
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    1.500     0.000   0.630846   0.024337   0.013888   0.038225   0.000000  -0.000000  -0.812568  -0.000000  -0.000000   25.0000     0.3426
    2.000     0.000   0.677370   0.026894   0.014419   0.041313   0.000000  -0.000000  -0.839764  -0.000000  -0.000000   25.0000     0.3298
    2.500     0.000   0.723792   0.029603   0.014725   0.044328   0.000000  -0.000000  -0.866832  -0.000000  -0.000000   25.0000     0.3186
    3.000     0.000   0.770103   0.032462   0.015038   0.047500   0.000000  -0.000000  -0.893763  -0.000000  -0.000000   25.0000     0.3088
    3.500     0.000   0.816296   0.035470   0.015369   0.050839   0.000000  -0.000000  -0.920548  -0.000000  -0.000000   25.0000     0.3001
    4.000     0.000   0.862363   0.038624   0.015742   0.054366   0.000000  -0.000000  -0.947188  -0.000000  -0.000000   25.0000     0.2924
    4.500     0.000   0.908298   0.041924   0.016158   0.058082   0.000000  -0.000000  -0.973676  -0.000000  -0.000000   25.0000     0.2855
    5.000     0.000   0.954093   0.045366   0.016617   0.061984   0.000000  -0.000000  -1.000003  -0.000000  -0.000000   25.0000     0.2792
    5.500     0.000   0.999740   0.048949   0.017123   0.066072   0.000000  -0.000000  -1.026162  -0.000000  -0.000000   25.0000     0.2736
    6.000     0.000   1.045232   0.052670   0.017674   0.070344   0.000000  -0.000000  -1.052149  -0.000000  -0.000000   25.0000     0.2685
    6.500     0.000   1.090563   0.056527   0.018294   0.074821   0.000000  -0.000000  -1.077965  -0.000000  -0.000000   25.0000     0.2638
    7.000     0.000   1.135724   0.060518   0.019333   0.079851   0.000000  -0.000000  -1.103766  -0.000000  -0.000000   25.0000     0.2595
    7.500     0.000   1.180710   0.064639   0.020870   0.085509   0.000000  -0.000000  -1.129615  -0.000000  -0.000000   25.0000     0.2555
    8.000     0.000   1.225513   0.068888   0.022245   0.091133   0.000000  -0.000000  -1.155194  -0.000000  -0.000000   25.0000     0.2519
    8.500     0.000   1.270126   0.073263   0.023562   0.096824   0.000000  -0.000000  -1.180525  -0.000000  -0.000000   25.0000     0.2485
    9.000     0.000   1.314542   0.077760   0.025003   0.102763   0.000000  -0.000000  -1.205680  -0.000000  -0.000000   25.0000     0.2454
    9.500     0.000   1.358755   0.082377   0.026729   0.109106   0.000000  -0.000000  -1.230734  -0.000000  -0.000000   25.0000     0.2425
   10.000     0.000   1.402759   0.087110   0.034751   0.121860   0.000000  -0.000000  -1.259590  -0.000000  -0.000000   25.0000     0.2398


