xflr5 v6.61

Plane name :        wist_2_20_up
Polar name :        T1-25.0 m/s-VLM1
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    2.000     0.000   0.276298   0.025498   0.027983   0.053481   0.000000  -0.000000   0.517573  -0.000000  -0.000000   25.0000    -0.5006
    2.500     0.000   0.323009   0.025779   0.025577   0.051356   0.000000  -0.000000   0.489386  -0.000000  -0.000000   25.0000    -0.4054
    3.000     0.000   0.369682   0.026216   0.021977   0.048193   0.000000  -0.000000   0.461455  -0.000000  -0.000000   25.0000    -0.3343
    3.500     0.000   0.416309   0.026807   0.021464   0.048272   0.000000  -0.000000   0.433164  -0.000000  -0.000000   25.0000    -0.2791
    4.000     0.000   0.462883   0.027552   0.021066   0.048618   0.000000  -0.000000   0.404849  -0.000000  -0.000000   25.0000    -0.2350
    4.500     0.000   0.509396   0.028450   0.021087   0.049537   0.000000  -0.000000   0.376434  -0.000000  -0.000000   25.0000    -0.1990
    5.000     0.000   0.555840   0.029500   0.020232   0.049732   0.000000  -0.000000   0.348248  -0.000000  -0.000000   25.0000    -0.1690
    5.500     0.000   0.602208   0.030702   0.017766   0.048468   0.000000  -0.000000   0.320603  -0.000000  -0.000000   25.0000    -0.1437
    6.000     0.000   0.648493   0.032054   0.017745   0.049799   0.000000  -0.000000   0.292310  -0.000000  -0.000000   25.0000    -0.1220
    6.500     0.000   0.694687   0.033555   0.018116   0.051671   0.000000  -0.000000   0.263902  -0.000000  -0.000000   25.0000    -0.1032
    7.000     0.000   0.740782   0.035204   0.018560   0.053765   0.000000  -0.000000   0.235480  -0.000000  -0.000000   25.0000    -0.0867
    7.500     0.000   0.786771   0.037000   0.019064   0.056065   0.000000  -0.000000   0.207059  -0.000000  -0.000000   25.0000    -0.0722
    8.000     0.000   0.832647   0.038941   0.019605   0.058546   0.000000  -0.000000   0.178659  -0.000000  -0.000000   25.0000    -0.0593
    8.500     0.000   0.878401   0.041025   0.020214   0.061240   0.000000  -0.000000   0.150278  -0.000000  -0.000000   25.0000    -0.0477
    9.000     0.000   0.924028   0.043252   0.020914   0.064166   0.000000  -0.000000   0.121919  -0.000000  -0.000000   25.0000    -0.0373
    9.500     0.000   0.969520   0.045618   0.021735   0.067353   0.000000  -0.000000   0.093590  -0.000000  -0.000000   25.0000    -0.0278
   10.000     0.000   1.014869   0.048122   0.022710   0.070833   0.000000  -0.000000   0.065298  -0.000000  -0.000000   25.0000    -0.0192
   10.500     0.000   1.060068   0.050762   0.023884   0.074647   0.000000  -0.000000   0.037048   0.000000  -0.000000   25.0000    -0.0114


