xflr5 v6.61

Plane name :        wist_2_20_down
Polar name :        T1-25.0 m/s-VLM1
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    2.000     0.000   0.739437   0.039594   0.026559   0.066153   0.000000  -0.000000  -1.053219  -0.000000  -0.000000   25.0000     0.3783
    2.500     0.000   0.785759   0.042671   0.028844   0.071515   0.000000  -0.000000  -1.081047  -0.000000  -0.000000   25.0000     0.3652
    3.000     0.000   0.831959   0.045895   0.038448   0.084344   0.000000  -0.000000  -1.110498  -0.000000  -0.000000   25.0000     0.3536
    3.500     0.000   0.878030   0.049265   0.042846   0.092111   0.000000  -0.000000  -1.138996  -0.000000  -0.000000   25.0000     0.3432
    4.000     0.000   0.923965   0.052778   0.045937   0.098715   0.000000  -0.000000  -1.167171  -0.000000  -0.000000   25.0000     0.3339
    4.500     0.000   0.969756   0.056432   0.056755   0.113187   0.000000  -0.000000  -1.197805  -0.000000  -0.000000   25.0000     0.3255
    5.000     0.000   1.015396   0.060225   0.064862   0.125087   0.000000  -0.000000  -1.227919  -0.000000  -0.000000   25.0000     0.3179
    5.500     0.000   1.060878   0.064155   0.069255   0.133410   0.000000  -0.000000  -1.256867  -0.000000  -0.000000   25.0000     0.3110
    6.000     0.000   1.106195   0.068219   0.073532   0.141750   0.000000  -0.000000  -1.285775  -0.000000  -0.000000   25.0000     0.3046


