xflr5 v6.61

Plane name :        wist_2_05_up
Polar name :        T1-25.0 m/s-VLM1
Freestream speed :  25.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000  -0.661047   0.022212   0.019548   0.041761   0.000000   0.000000   0.541671  -0.000000   0.000000   25.0000     0.2209
   -9.500     0.000  -0.615168   0.019908   0.018766   0.038674   0.000000   0.000000   0.516690  -0.000000   0.000000   25.0000     0.2261
   -9.000     0.000  -0.569177   0.017746   0.018073   0.035819   0.000000   0.000000   0.491553  -0.000000   0.000000   25.0000     0.2321
   -8.500     0.000  -0.523082   0.015728   0.017437   0.033165   0.000000   0.000000   0.466265  -0.000000   0.000000   25.0000     0.2392
   -8.000     0.000  -0.476890   0.013856   0.016843   0.030699   0.000000   0.000000   0.440832  -0.000000   0.000000   25.0000     0.2477
   -7.500     0.000  -0.430609   0.012131   0.016288   0.028419   0.000000   0.000000   0.415261  -0.000000   0.000000   25.0000     0.2581
   -7.000     0.000  -0.384245   0.010556   0.015768   0.026324   0.000000   0.000000   0.389559  -0.000000   0.000000   25.0000     0.2710
   -6.500     0.000  -0.337807   0.009130   0.015277   0.024407   0.000000   0.000000   0.363734  -0.000000   0.000000   25.0000     0.2874
   -6.000     0.000  -0.291302   0.007856   0.014822   0.022678   0.000000   0.000000   0.337792  -0.000000   0.000000   25.0000     0.3092
   -5.500     0.000  -0.244738   0.006734   0.014392   0.021126   0.000000   0.000000   0.311743  -0.000000   0.000000   25.0000     0.3393
   -5.000     0.000  -0.198122   0.005766   0.013990   0.019756   0.000000   0.000000   0.285592  -0.000000   0.000000   25.0000     0.3836
   -4.500     0.000  -0.151461   0.004953   0.013624   0.018577   0.000000   0.000000   0.259348  -0.000000   0.000000   25.0000     0.4553
   -4.000     0.000  -0.104763   0.004294   0.013302   0.017597   0.000000   0.000000   0.233019  -0.000000   0.000000   25.0000     0.5909
   -3.500     0.000  -0.058037   0.003792   0.012993   0.016785   0.000000   0.000000   0.206611  -0.000000   0.000000   25.0000     0.9451
   -3.000     0.000  -0.011289   0.003446   0.012753   0.016199   0.000000  -0.000000   0.180133  -0.000000   0.000000   25.0000     4.2331
   -2.500     0.000   0.035473   0.003257   0.012534   0.015791   0.000000  -0.000000   0.153592  -0.000000  -0.000000   25.0000    -1.1481
   -2.000     0.000   0.082240   0.003225   0.012341   0.015566   0.000000  -0.000000   0.126995  -0.000000  -0.000000   25.0000    -0.4093
   -1.500     0.000   0.129006   0.003351   0.012194   0.015545   0.000000  -0.000000   0.100351  -0.000000  -0.000000   25.0000    -0.2061
   -1.000     0.000   0.175763   0.003633   0.012075   0.015709   0.000000  -0.000000   0.073666  -0.000000  -0.000000   25.0000    -0.1111
   -0.500     0.000   0.222503   0.004074   0.011998   0.016072   0.000000  -0.000000   0.046949  -0.000000  -0.000000   25.0000    -0.0559
    0.000     0.000   0.269218   0.004671   0.011977   0.016648   0.000000  -0.000000   0.020207  -0.000000  -0.000000   25.0000    -0.0200
    0.500     0.000   0.315901   0.005425   0.011991   0.017416   0.000000  -0.000000  -0.006552  -0.000000  -0.000000   25.0000     0.0054
    1.000     0.000   0.362544   0.006336   0.012125   0.018460   0.000000  -0.000000  -0.033321  -0.000000  -0.000000   25.0000     0.0242
    1.500     0.000   0.409139   0.007402   0.012662   0.020064   0.000000  -0.000000  -0.060095  -0.000000  -0.000000   25.0000     0.0387
    2.000     0.000   0.455679   0.008624   0.013213   0.021837   0.000000  -0.000000  -0.086866  -0.000000  -0.000000   25.0000     0.0503
    2.500     0.000   0.502155   0.010000   0.013519   0.023520   0.000000  -0.000000  -0.113621  -0.000000  -0.000000   25.0000     0.0597
    3.000     0.000   0.548562   0.011530   0.013783   0.025313   0.000000  -0.000000  -0.140354  -0.000000  -0.000000   25.0000     0.0676
    3.500     0.000   0.594890   0.013212   0.014076   0.027288   0.000000  -0.000000  -0.167059  -0.000000  -0.000000   25.0000     0.0742
    4.000     0.000   0.641133   0.015046   0.014385   0.029431   0.000000  -0.000000  -0.193726  -0.000000  -0.000000   25.0000     0.0798
    4.500     0.000   0.687282   0.017030   0.014724   0.031754   0.000000  -0.000000  -0.220349  -0.000000  -0.000000   25.0000     0.0847
